journal	paper	url	size_in_kb	author
IJHS-5-1970-Issue-1	Methodology for Experimental Research In Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_5_JMitra.pdf	215.0	Jyotir Mitra
IJHS-5-1970-Issue-1	Medical Science and Dispensaries in Ancient South India as Gleaned From Epigraphy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_6_SGurumurthy.pdf	97.0	S Gurumurthy
IJHS-5-1970-Issue-1	The Brahmanas on Medicine and Biological Sciences	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_7_RSSMurthy.pdf	116.0	R S Shivaganesha Murthy
IJHS-5-1970-Issue-1	Medicine—As it Evolved in Ancient and Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_8_PRay.pdf	289.0	Priyadaranjan Ray
IJHS-5-1970-Issue-1	Human Anatomy According to the Agni Purana	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_9_BBMishra.pdf	219.0	B B Mishra
IJHS-5-1970-Issue-1	Surgical Principles in the Sutrasthanam of the Susruta Samhita	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_10_RCChakravorty.pdf	109.0	R C Chakravorty
IJHS-5-1970-Issue-1	Biology in Ancient and Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_11_RNKapil.pdf	463.0	R N Kapil
IJHS-5-1970-Issue-1	Wood and its Use During Pre–and Proto–Historic Time	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_12_KAChowdhury.pdf	53.0	K A Chowdhury
IJHS-5-1970-Issue-1	Biological Concepts and Agriculture in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_13_VMittre.pdf	352.0	Vishnu Mittre
IJHS-5-1970-Issue-1	Family Relations of Some Plants in The Atharvaveda	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_14_MRoy.pdf	351.0	Mira Roy
IJHS-5-1970-Issue-1	History of Land Use in India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_15_SPRaychaudhuri.pdf	29.0	S P Raychaudhuri
